id,name,description,citation_uri,child_ids/0,child_ids/1,child_ids/2,child_ids/3,child_ids/4,child_ids/5,child_ids/6,child_ids/7,child_ids/8,restrictions/0,child_ids/9,child_ids/10,child_ids/11,child_ids/12,positive_examples/0,positive_examples/1,positive_examples/2,positive_examples/3,positive_examples/4,positive_examples/5,positive_examples/6,positive_examples/7,positive_examples/8,positive_examples/9,positive_examples/10,positive_examples/11,positive_examples/12,child_ids/13,child_ids/14,child_ids/15,child_ids/16,child_ids/17,child_ids/18,child_ids/19,child_ids/20,child_ids/21,child_ids/22,child_ids/23,child_ids/24,restrictions/1,child_ids/25,child_ids/26
/m/07p6fty,Shout,Talk in a loud voice to deliberately command attention or overcome interfering sounds. Does not have the stronger emotional connotations of Yell or Scream.,http://wordnetweb.princeton.edu/perl/webwn?s=shout,/m/07q4ntr,/m/07rwj3x,/m/07sr1lc,/m/04gy_2,/t/dd00135,,,,,,,,,,youtu.be/-aY64NxBVas?start=480&end=490,youtu.be/mPr3kCL5y10?start=210&end=220,youtu.be/5YB13i75Nr4?start=60&end=70,youtu.be/X04FOAQFn5I?start=130&end=140,,,,,,,,,,,,,,,,,,,,,,,,
/m/07q4ntr,Bellow,A very loud utterance by a person that seems more animal than human.,http://wordnetweb.princeton.edu/perl/webwn?s=bellow,,,,,,,,,,,,,,,youtu.be/EquXTta7QU0?start=230&end=240,youtu.be/gLl7DnPIZd4?start=20&end=30,youtu.be/bCqNjZRWogs?start=30&end=40,youtu.be/EzIa5SQC7R0?start=30&end=40,youtu.be/rGbppkm9MYs?start=90&end=100,,,,,,,,,,,,,,,,,,,,,,,
/m/07rwj3x,Whoop,A loud hooting cry of exultation or excitement.,http://wordnetweb.princeton.edu/perl/webwn?s=whoop,,,,,,,,,,,,,,,youtu.be/TKwuq-O67VE?start=9&end=19,youtu.be/yfwQgGVZtqI?start=30&end=40,youtu.be/2Z0FSALnSmM?start=30&end=40,youtu.be/TDJ746q3sAU?start=170&end=180,youtu.be/pB4Bh36b1Ss?start=30&end=40,youtu.be/4Gw8jFlJyLI?start=50&end=60,youtu.be/7yGHDT7r2u8?start=1&end=11,youtu.be/5yD_YeSuTzQ?start=150&end=160,youtu.be/NPkO63FcFXM?start=30&end=40,,,,,,,,,,,,,,,,,,,
/m/07sr1lc,Yell,"Utter or declare in a very loud voice that seems excessive or involuntary, or that is deliberately startling in order to command attention, as distinct from the pragmatically raised voice of Shout.",http://wordnetweb.princeton.edu/perl/webwn?s=yell,,,,,,,,,,,,,,,youtu.be/YMeuw-x86KU?start=30&end=40,youtu.be/NMn-9tvzQZA?start=30&end=40,youtu.be/AperXKEnTJ4?start=30&end=40,youtu.be/pXawVUjQLok?start=30&end=40,youtu.be/vOEF-FzwSlM?start=100&end=110,,,,,,,,,,,,,,,,,,,,,,,
/m/04gy_2,Battle cry,"A yell or chant taken up in battle, usually by members of the same combatant group, aiming at arousing aggression on one's own side and intimidating the enemy.",http://en.wikipedia.org/wiki/Battle_cry,,,,,,,,,,,,,,,youtu.be/iEfkkyrecGA?start=210&end=220,youtu.be/8-xVEzStUkg?start=10&end=20,youtu.be/aNhVWZI5DXY?start=130&end=140,youtu.be/4Gz_dmk3v_A?start=30&end=40,youtu.be/RATOmpfWqUo?start=180&end=190,youtu.be/DRQPYwom_mY?start=40&end=50,,,,,,,,,,,,,,,,,,,,,,
/t/dd00135,Children shouting,"The boisterous vocalizations of a group of children, for instance in a playground.",,,,,,,,,,,,,,,,youtu.be/W4AptCGYj5w?start=30&end=40,youtu.be/w4VqralR-6E?start=10&end=20,youtu.be/vsgHNEEOKxk?start=150&end=160,youtu.be/7koyNkRHO8U?start=20&end=30,youtu.be/Q8NC8aHonOU?start=70&end=80,,,,,,,,,,,,,,,,,,,,,,,
/m/03qc9zr,Screaming,"A sharp, high-pitched human vocalization; often an instinctive action indicating fear, pain, surprise, joy, anger, etc. Verbal content is absent or overwhelmed, unlike Shout and Yell.",http://en.wikipedia.org/wiki/Screaming,,,,,,,,,,,,,,,youtu.be/ZHrf_y9q96Q?start=20&end=30,youtu.be/GqTExeZqXzw?start=20&end=30,youtu.be/vgpAqgBIpdM?start=220&end=230,youtu.be/GUsI_2tYVYM?start=29&end=39,youtu.be/52waxTykuLc?start=30&end=40,youtu.be/auC_LgwFF8g?start=30&end=40,,,,,,,,,,,,,,,,,,,,,,
/m/02rtxlg,Whispering,"Unvoiced speech, usually intended to be quieter to avoid causing disturbance or being overheard.",http://en.wikipedia.org/wiki/Whispering,,,,,,,,,,,,,,,youtu.be/Tr6NMYItPJk?start=490&end=500,youtu.be/wTjxa7yFyXQ?start=90&end=100,youtu.be/a3xzicvE4Yk?start=270&end=280,youtu.be/wAFz-WuuJ4o?start=210&end=220,youtu.be/-26vNAAFWH0?start=350&end=360,youtu.be/7S_iHrdfrvQ?start=30&end=40,youtu.be/cus68zSHXDA?start=90&end=100,youtu.be/CVGwF_-HXdo?start=540&end=550,,,,,,,,,,,,,,,,,,,,
/m/01j3sz,Laughter,"The sound of rhythmical contractions of the diaphragm in response to stimuli such as tickling, or from humorous stories or thoughts.",http://en.wikipedia.org/wiki/Laughter,/t/dd00001,/m/07r660_,/m/07s04w4,/m/07sq110,/m/07rgt08,,,,,,,,,,youtu.be/37hqUFpvl6A?start=40&end=50,youtu.be/sjAKBnCgKt8?start=220&end=230,youtu.be/ULTB6y2aj8I?start=40&end=50,youtu.be/c0V_HAul7rI?start=30&end=40,youtu.be/SwZ0V8bc2QY?start=350&end=360,youtu.be/aXS2iHSQE6g?start=10&end=20,youtu.be/O1snVHXG2j4?start=390&end=400,youtu.be/4e-qMxrus0A?start=80&end=90,youtu.be/rPV1mbwWms0?start=60&end=70,,,,,,,,,,,,,,,,,,,
/t/dd00001,Baby laughter,Laughter that is produced by a baby or infant.,,,,,,,,,,,,,,,,youtu.be/2ZqInEYQDOM?start=30&end=40,youtu.be/BRtGk2YmdJ0?start=20&end=30,youtu.be/T89y6lwH1Zg?start=30&end=40,youtu.be/lwb96iGdhZs?start=210&end=220,youtu.be/m2OBZqJ8qgI?start=90&end=100,youtu.be/kykRU_67e94?start=20&end=30,youtu.be/RLiHf1zIuXY?start=50&end=60,youtu.be/3dh5bfCN4Hs?start=10&end=20,,,,,,,,,,,,,,,,,,,,
/m/07r660_,Giggle,A foolish or nervous laugh.,http://wordnetweb.princeton.edu/perl/webwn?s=giggle,,,,,,,,,,,,,,,youtu.be/XviVGrbiUmE?start=240&end=250,youtu.be/UW7ioxBkBvc?start=410&end=420,youtu.be/RDAnjeHmW5o?start=30&end=40,youtu.be/fvg6SM8hnwM?start=30&end=40,youtu.be/Ts-Y1-FHnUo?start=30&end=40,youtu.be/K4sqsDcUfGM?start=30&end=40,youtu.be/8DTw8Udr4rA?start=80&end=90,,,,,,,,,,,,,,,,,,,,,
/m/07s04w4,Snicker,A disrespectful laugh.,http://wordnetweb.princeton.edu/perl/webwn?s=snicker,,,,,,,,,,,,,,,youtu.be/0Xsny5M-hyE?start=140&end=150,youtu.be/2sDFQiVB67I?start=80&end=90,youtu.be/PgiVYe0HbNg?start=290&end=300,youtu.be/ZMwa1h1Aa8I?start=30&end=40,,,,,,,,,,,,,,,,,,,,,,,,
/m/07sq110,Belly laugh,Very loud and abrupt laughter that encompasses much of the body.,http://wordnetweb.princeton.edu/perl/webwn?s=belly%20laugh,,,,,,,,,,,,,,,youtu.be/x2guhF8m53o?start=90&end=100,youtu.be/og_nfmnT-xA?start=180&end=190,youtu.be/NUNcvnesc2I?start=310&end=320,youtu.be/sWXpzTZWNAI?start=30&end=40,youtu.be/I-XNolOQ1JQ?start=330&end=340,youtu.be/h_zv_bxqtAM?start=440&end=450,,,,,,,,,,,,,,,,,,,,,,
/m/07rgt08,"Chuckle, chortle",Laugh quietly or with restraint.,http://wordnetweb.princeton.edu/perl/webwn?s=chuckle,,,,,,,,,,,,,,,youtu.be/C9WWt3dS1I8?start=50&end=60,youtu.be/-iq2dAKozlc?start=50&end=60,youtu.be/B_6FPEmhH70?start=40&end=50,youtu.be/_zkfG4uVqA4?start=110&end=120,youtu.be/XeKzuoN62QM?start=40&end=50,youtu.be/3Ri8_DHI4fQ?start=30&end=40,youtu.be/0WOwZJ9G2N8?start=110&end=120,,,,,,,,,,,,,,,,,,,,,
/m/0463cq4,"Crying, sobbing","Sound associated with the shedding of tears in response to an emotional state, arising from slow but erratic inhalation, occasional instances of breath holding and muscular tremor.",http://en.wikipedia.org/wiki/Crying,/t/dd00002,/m/07qz6j3,,,,,,,,,,,,,youtu.be/RM6ekNDE2wc?start=15&end=25,youtu.be/8Y2VGN-QsEs?start=10&end=20,youtu.be/kEuZE_uu1rs?start=10&end=20,youtu.be/5Fnc7yYDDvM?start=10&end=20,youtu.be/rYyKWyIfVpU?start=10&end=20,youtu.be/5KgGTZEsMsQ?start=10&end=20,youtu.be/x9vxPUVx40Y?start=30&end=40,youtu.be/fpWdNeGCKqc?start=40&end=50,youtu.be/SfG3IkOprQc?start=60&end=70,,,,,,,,,,,,,,,,,,,
/t/dd00002,"Baby cry, infant cry",The sound of a young child crying or bawling.,,,,,,,,,,,,,,,,youtu.be/6T2jEKesKXY?start=30&end=40,youtu.be/-mvGA8duqKM?start=29&end=39,youtu.be/qc8n-R16jqI?start=30&end=40,youtu.be/YFK6RwUBpHg?start=10&end=20,youtu.be/VbtgXizyof4?start=30&end=40,youtu.be/R6-KBbwNo1Q?start=30&end=40,youtu.be/CmXA759VLZo?start=7&end=17,youtu.be/qK4ag_CDBq4?start=30&end=40,youtu.be/d-1zfgzgBgc?start=14&end=24,,,,,,,,,,,,,,,,,,,
/m/07qz6j3,Whimper,"A plaintive, whining vocalization with some abrupt changes in loudness.",http://wordnetweb.princeton.edu/perl/webwn?s=whimper,,,,,,,,,,,,,,,youtu.be/Paa2p-PWR_A?start=110&end=120,youtu.be/ym17PNCgwbQ?start=11&end=21,youtu.be/ZucQqoFyibg?start=80&end=90,youtu.be/DLKDQyjlmMc?start=30&end=40,youtu.be/bEah4B4VQwg?start=30&end=40,youtu.be/NLoDz8kI6hA?start=22&end=32,youtu.be/YCvOvWQjUuw?start=50&end=60,youtu.be/dFNG62WLBMk?start=70&end=80,,,,,,,,,,,,,,,,,,,,
/m/07qw_06,"Wail, moan","A weak or soft emotional vocalization, possibly indicating pain, sadness, or pleasure.",http://wordnetweb.princeton.edu/perl/webwn?s=wail,,,,,,,,,,,,,,,youtu.be/kLElQSpQEdI?start=110&end=120,youtu.be/1SH36SQZxG4?start=510&end=520,youtu.be/sArGQfiV2Ro?start=400&end=410,youtu.be/7nZcwE5VxgM?start=470&end=480,youtu.be/uiPxvdr6S8c?start=60&end=70,youtu.be/VCOQOjLdIj0?start=510&end=520,,,,,,,,,,,,,,,,,,,,,,
/m/07plz5l,Sigh,An utterance made by exhaling audibly.,http://wordnetweb.princeton.edu/perl/webwn?s=sigh,,,,,,,,,,,,,,,youtu.be/XOphuM8ZUhM?start=560&end=570,youtu.be/giY25pWyJxM?start=140&end=150,,,,,,,,,,,,,,,,,,,,,,,,,,
/m/015lz1,Singing,"Musical sounds produced with the human voice, including sustained tonality, rhythm, and a variety of other vocal techniques.",http://en.wikipedia.org/wiki/Singing,/m/0l14jd,/m/01swy6,/m/02bk07,/t/dd00003,/t/dd00004,/t/dd00005,/t/dd00006,/m/06bxc,,,,,,,youtu.be/tYsnQUR-Ovg?start=210&end=220,youtu.be/qo2MBnTtMrs?start=30&end=40,youtu.be/XgPZjCl7Mog?start=110&end=120,youtu.be/nJwUDaURmEU?start=160&end=170,youtu.be/0ejZ-FIdeOE?start=80&end=90,youtu.be/CzoJ3saJ4pw?start=70&end=80,youtu.be/-62ed8TfM9E?start=100&end=110,youtu.be/GpMPvnxkibA?start=190&end=200,youtu.be/ZgxmMjcGBIk?start=30&end=40,,,,,,,,,,,,,,,,,,,
/m/0l14jd,Choir,A musical ensemble of singers.,http://en.wikipedia.org/wiki/Choir,,,,,,,,,,,,,,,youtu.be/BwSECmEnch0?start=30&end=40,youtu.be/7KBnHYkfr88?start=280&end=290,youtu.be/T1fzAEVrunY?start=40&end=50,youtu.be/jvEf_n4skHM?start=210&end=220,youtu.be/Kb8aE3C4aSw?start=370&end=380,youtu.be/dZiS2K2eqhs?start=30&end=40,youtu.be/OdhXgzLFed0?start=130&end=140,youtu.be/Gx7yso0V26E?start=300&end=310,youtu.be/94zsWCi4C6g?start=190&end=200,,,,,,,,,,,,,,,,,,,
/m/01swy6,Yodeling,A form of singing that involves repeated and rapid changes of pitch between the low-pitch chest register and the high-pitch head register or falsetto.,http://en.wikipedia.org/wiki/Yodeling,,,,,,,,,,,,,,,youtu.be/2eSbUlbLTKw?start=70&end=80,youtu.be/DTzl8RG1oqA?start=70&end=80,youtu.be/h3qfNR2JJdI?start=50&end=60,,,,,,,,,,,,,,,,,,,,,,,,,
/m/02bk07,Chant,"The rhythmic speaking or singing of words or sounds, often primarily on one or two main pitches called reciting tones.",http://en.wikipedia.org/wiki/Chant,/m/01c194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/m/01c194,Mantra,A melodic sacred utterance believed to have spiritual powers.,http://en.wikipedia.org/wiki/Mantra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/t/dd00003,Male singing,Singing produced by an adult human male.,,,,,,,,,,,,,,,,youtu.be/3MyiiJVkmZc?start=30&end=40,youtu.be/Cxe11hqO8xM?start=40&end=50,youtu.be/zwU8MqFhtLo?start=180&end=190,youtu.be/7QYUijb6wEg?start=30&end=40,youtu.be/5mvUQdbVvIs?start=30&end=40,youtu.be/1Ct9cLEumKQ?start=30&end=40,youtu.be/-KN8aM8jlRo?start=30&end=40,,,,,,,,,,,,,,,,,,,,,
/t/dd00004,Female singing,Singing produced by an adult human female.,,,,,,,,,,,,,,,,youtu.be/6Mp3JkuGIiI?start=30&end=40,youtu.be/w9a0J7_9zN8?start=30&end=40,youtu.be/-7xRJ-Osv1E?start=30&end=40,youtu.be/G0wvmTxaLl4?start=30&end=40,youtu.be/5j9weh6E9Yc?start=30&end=40,youtu.be/-Y77HcFQZRo?start=30&end=40,youtu.be/4MLHuuh6Al0?start=30&end=40,youtu.be/6_YVfDV_GSA?start=6&end=16,youtu.be/0ow_OtEBvRM?start=30&end=40,,,,,,,,,,,,,,,,,,,
/t/dd00005,Child singing,Singing produced by a young human whose voice has not yet reached its adult state.,,,,,,,,,,,,,,,,youtu.be/0aqR4zaYEn4?start=30&end=40,youtu.be/RmaUdIhQhsI?start=60&end=70,youtu.be/5pIdH6p3kuo?start=30&end=40,youtu.be/hnJhbClGpNI?start=90&end=100,youtu.be/4d9EfAmGVFs?start=30&end=40,youtu.be/77ojcYuZn7A?start=30&end=40,youtu.be/B8wfW-vq_Pk?start=60&end=70,youtu.be/-UFvq4-iS-Y?start=560&end=570,youtu.be/265WZznzbko?start=30&end=40,,,,,,,,,,,,,,,,,,,
/t/dd00006,Synthetic singing,"Singing-like sounds produced by artificial means, such as an electronic synthesizer.  Does not include pre-recorded sounds that originate in a human voice.",,,,,,,,,,,,,,,,youtu.be/d6-bQMCz7j0?start=30&end=40,youtu.be/-NC5li0b4eY?start=30&end=40,,,,,,,,,,,,,,,,,,,,,,,,,,
/m/06bxc,Rapping,"The sound of ""spoken or chanted rhyming lyrics"", serving the role of a vocal line in music but with normal speech intonation instead of a melodic line.",http://en.wikipedia.org/wiki/Rapping,,,,,,,,,,,,,,,youtu.be/o0UkYQyz7Go?start=10&end=20,youtu.be/TlAoG8vYhZc?start=110&end=120,youtu.be/x7RGnBNjxUc?start=40&end=50,youtu.be/oqkwwyS91MU?start=100&end=110,youtu.be/vUgzSosGFl0?start=100&end=110,youtu.be/n75IvFxTnPc?start=500&end=510,youtu.be/rQZOndx4yQk?start=220&end=230,youtu.be/UABPePYISsQ?start=30&end=40,youtu.be/gAX5Kae75y0?start=30&end=40,youtu.be/IDhovk37whw?start=30&end=40,,,,,,,,,,,,,,,,,,
/m/02fxyj,Humming,"A wordless tone produced by forcing the sound to emerge from the nose, often with a melody.",http://en.wikipedia.org/wiki/Humming,,,,,,,,,,,,,,,youtu.be/rDybDMElvEQ?start=30&end=40,youtu.be/fDk8UFZFPqQ?start=30&end=40,youtu.be/KRb26VscbJ8?start=120&end=130,,,,,,,,,,,,,,,,,,,,,,,,,
/m/07s2xch,Groan,An utterance expressing pain or disapproval. Specifically refers to humans.,http://wordnetweb.princeton.edu/perl/webwn?s=groan,,,,,,,,,,,,,,,youtu.be/UfJczyLcB40?start=170&end=180,youtu.be/NrD9vrfyBLc?start=40&end=50,youtu.be/AjQpqRcpG4E?start=30&end=40,youtu.be/OHIIpJzP8_8?start=20&end=30,youtu.be/Dp0FeEXOdgM?start=260&end=270,youtu.be/vL1goz4n82k?start=140&end=150,youtu.be/DkK4GuqTzHw?start=30&end=40,,,,,,,,,,,,,,,,,,,,,
/m/07r4k75,Grunt,"A short low gruff noise, resembling the sound made by animals such as pigs. Specifically refers to humans.",http://wordnetweb.princeton.edu/perl/webwn?s=grunt,,,,,,,,,,,,,,,youtu.be/qt6ffKY0Vhs?start=160&end=170,youtu.be/IUcXh9Zz0cQ?start=20&end=30,,,,,,,,,,,,,,,,,,,,,,,,,,
/m/01j423,Yawn,"The sound of a reflex consisting of the simultaneous inhalation of air and the stretching of the eardrums, followed by an exhalation of breath, commonly associated with tiredness. Specifically refers to humans.",http://en.wikipedia.org/wiki/Yawn,,,,,,,,,,,,,,,youtu.be/nKdPjkVUbzc?start=90&end=100,youtu.be/yMmc3uMa5xY?start=30&end=40,youtu.be/C6Dh2wI6yss?start=70&end=80,youtu.be/m5UQZ-zHd6I?start=13&end=23,,,,,,,,,,,,,,,,,,,,,,,,
/m/01w250,Whistling,"High-pitched tone produced by blowing or sucking air through a small opening between the lips. Used to draw attention, as a personal tic, and to reproduce a melody.",http://en.wikipedia.org/wiki/Whistling,/m/079vc8,,,,,,,,,,,,,,youtu.be/MJJv-SQVbQY?start=140&end=150,youtu.be/snXiUKVgEVI?start=30&end=40,youtu.be/7lqma04srnA?start=380&end=390,youtu.be/78F0DHyl8BU?start=30&end=40,youtu.be/_UahfxFAx0g?start=10&end=20,youtu.be/EJr6MusXp-o?start=26&end=36,youtu.be/zhTVzULeZQU?start=12&end=22,,,,,,,,,,,,,,,,,,,,,
/m/079vc8,Wolf-whistling,A two-toned whistle commonly made to show high interest or approval of something or someone (typically sexual).,http://en.wikipedia.org/wiki/Wolf-whistling,,,,,,,,,,,,,,,youtu.be/wE527Sqn0E8?start=12&end=22,youtu.be/YykyGidfpfw?start=30&end=40,,,,,,,,,,,,,,,,,,,,,,,,,,
/m/09hlz4,Respiratory sounds,"Sounds generated by the movement of air through the respiratory system (nose, mouth, trachea, and lungs).",http://en.wikipedia.org/wiki/Respiratory_sounds,/m/0lyf6,/m/01b_21,/m/01hsr_,/m/07ppn3j,,,,,,abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/m/0lyf6,Breathing,Air being moved in and out of the lungs in order to sustain life.,http://en.wikipedia.org/wiki/Breathing,/m/07mzm6,/m/01d3sd,/m/07s0dtb,/m/07pyy8b,/m/07q0yl5,,,,,,,,,,youtu.be/hd2yDnpnkUU?start=30&end=40,youtu.be/1PFsaGB6rIw?start=220&end=230,youtu.be/ncyIS2o9m74?start=30&end=40,youtu.be/fBLIOyO67Ro?start=90&end=100,youtu.be/YhSBpiBlIec?start=10&end=20,youtu.be/e1urSpgRg7M?start=40&end=50,youtu.be/XUPDODziWEw?start=80&end=90,,,,,,,,,,,,,,,,,,,,,
/m/07mzm6,Wheeze,"A continuous, coarse, whistling sound produced by obstruction of the respiratory airways during breathing.",http://en.wikipedia.org/wiki/Wheeze,,,,,,,,,,,,,,,youtu.be/NPVIL-WOOM4?start=30&end=40,youtu.be/IvfCYhQXLd0?start=3&end=13,youtu.be/6J9XeiKqzw0?start=18&end=28,youtu.be/SVz7X1gqlcw?start=50&end=60,,,,,,,,,,,,,,,,,,,,,,,,
/m/01d3sd,Snoring,The sound resulting from obstructed respiratory airways during breathing while sleeping.,http://en.wikipedia.org/wiki/Snoring,,,,,,,,,,,,,,,youtu.be/mn824q6UoMg?start=140&end=150,youtu.be/TiJ-Szo9yHQ?start=20&end=30,youtu.be/oFiA12sNPyo?start=20&end=30,youtu.be/c5DPrfjcnsw?start=100&end=110,youtu.be/9LoDdANZIwg?start=50&end=60,youtu.be/qWLuleckhOc?start=110&end=120,youtu.be/3553HVNfiP8?start=30&end=40,,,,,,,,,,,,,,,,,,,,,
/m/07s0dtb,Gasp,A short labored intake of breath with the mouth open. Often indicates shock or surprise.,http://wordnetweb.princeton.edu/perl/webwn?s=gasp,,,,,,,,,,,,,,,youtu.be/4bU0HWzCXMc?start=170&end=180,youtu.be/soVRoIbewMM?start=50&end=60,youtu.be/EvkxkkJp-v8?start=190&end=200,,,,,,,,,,,,,,,,,,,,,,,,,
